County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,0,70,1465,2334,375,38,4282
Alpine,0,0,16,0,0,0,16
Amador,0,0,25,0,8,0,33
Butte,6,0,59,46,27,1,139
Calaveras,0,2,9,0,12,0,23
Colusa,0,0,16,0,18,0,34
Contra Costa,0,2,630,608,251,4,1495
Del Norte,0,0,14,1,22,2,39
El Dorado,1,0,140,4,48,1,194
Fresno,8,1,507,412,217,13,1158
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,109,10,31,0,150
Imperial,0,0,12,12,20,1,45
Inyo,0,0,8,5,35,1,49
Kern,4,1,165,248,226,2,646
Kings,0,0,49,22,105,0,176
Lake,0,0,15,0,0,0,15
Lassen,0,1,7,0,8,0,16
Los Angeles,29,120,7440,16498,1352,246,25685
Madera,0,1,47,18,85,10,161
Marin,1,0,467,382,83,0,933
Mariposa,0,0,23,0,10,0,33
Mendocino,0,0,129,20,51,0,200
Merced,10,2,35,31,96,3,177
Modoc,0,0,4,0,8,0,12
Mono,0,0,19,7,12,0,38
Monterey,0,0,198,44,151,1,394
Napa,0,0,325,24,42,0,391
Nevada,0,1,73,43,44,0,161
Orange,1,0,2694,1853,644,22,5214
Placer,0,1,228,64,128,4,425
Plumas,0,0,7,0,0,0,7
Riverside,0,1,956,142,398,11,1508
Sacramento,69,18,988,386,276,19,1756
San Benito,0,0,8,10,25,0,43
San Bernardino,3,11,641,495,435,30,1615
San Diego,2,17,2343,4462,505,29,7358
San Francisco,9,6,579,697,118,27,1436
San Joaquin,0,0,192,276,131,13,612
San Luis Obispo,0,1,340,145,130,0,616
San Mateo,2,36,2057,2029,302,10,4436
Santa Barbara,1,2,290,112,97,2,504
Santa Clara,3,75,3548,11927,631,43,16227
Santa Cruz,1,0,193,77,74,0,345
Shasta,0,0,55,48,31,4,138
Sierra,0,0,1,0,0,0,1
Siskiyou,0,1,24,0,42,0,67
Solano,5,0,213,148,107,0,473
Sonoma,0,0,450,208,117,19,794
Stanislaus,0,1,70,40,59,1,171
Sutter,0,0,5,5,16,1,27
Tehama,0,0,12,46,32,1,91
Trinity,0,0,4,0,10,0,14
Tulare,0,3,59,64,63,23,212
Tuolumne,0,0,34,12,14,0,60
Ventura,4,0,344,312,144,6,810
Yolo,12,0,208,124,50,4,398
Yuba,0,0,20,39,0,0,59
Unknown,0,0,0,1858,0,10,1868
Total,171,374,28573,46348,7926,602,83994